Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
22;2021-07-22;11;0;661;106;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;6.0;4.0;1.0;;;;
29;2021-07-22;13;0;553;92;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;7.0;6.0;0.0;;;;
22;2021-07-18;19;1;1260;248;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;7.0;8.0;3.0;0;0;0;0
56;2021-07-20;37;3;1057;252;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;10.0;7.0;17.0;;;;
29;2021-08-24;74;10;1226;275;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;43.0;19.0;2.0;4;0;2;2
29;2022-01-06;122;16;1589;340;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;62.0;36.0;8.0;10;0;0;9
35;2022-01-06;105;21;2306;464;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;56.0;28.0;0.0;;;;
35;2022-01-08;235;31;4606;828;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;131.0;68.0;5.0;22;2;1;15
22;2022-01-11;40;3;872;126;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;23.0;13.0;1.0;;;;
29;2022-01-15;72;14;862;212;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;29.0;21.0;8.0;;;;
29;2022-01-17;83;16;864;213;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;36.0;21.0;10.0;;;;
35;2022-01-19;346;40;4825;838;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;200.0;100.0;6.0;53;7;1;26
56;2022-01-19;165;16;2895;513;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;115.0;32.0;2.0;15;1;0;8
35;2022-01-20;188;9;2377;367;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;108.0;65.0;6.0;;;;
22;2022-01-23;68;7;838;168;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;48.0;10.0;3.0;;;;
35;2022-01-23;191;9;2409;368;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;106.0;70.0;6.0;;;;
56;2022-01-23;76;3;1479;219;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;54.0;18.0;1.0;;;;
22;2022-01-24;138;10;1798;302;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;92.0;33.0;3.0;36;1;2;20
29;2022-01-26;216;26;1848;364;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;128.0;49.0;13.0;29;3;1;16
35;2022-01-26;435;44;5009;852;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;270.0;116.0;5.0;63;6;1;43
35;2022-01-27;388;44;5086;855;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;263.0;76.0;5.0;30;4;3;77
56;2022-01-29;215;15;3054;525;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;161.0;39.0;0.0;16;0;0;17
29;2022-01-30;103;7;928;147;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;73.0;19.0;4.0;;;;
29;2022-02-03;285;21;1987;385;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;161.0;86.0;17.0;32;1;3;28
56;2022-02-09;111;14;1584;313;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;79.0;18.0;0.0;;;;
35;2022-02-11;210;28;2753;509;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;137.0;42.0;3.0;;;;
29;2022-02-13;170;10;1071;156;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;98.0;57.0;5.0;;;;
29;2022-02-17;158;8;1120;162;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;85.0;59.0;6.0;;;;
35;2022-02-17;215;8;2889;400;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;133.0;70.0;4.0;;;;
35;2022-02-18;410;29;5811;931;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;261.0;113.0;7.0;50;3;5;58
22;2022-02-20;91;1;1147;152;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;59.0;30.0;1.0;;;;
56;2022-02-22;100;9;1683;328;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;76.0;15.0;0.0;;;;
22;2022-02-24;78;3;1083;189;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;52.0;19.0;4.0;;;;
22;2022-02-24;99;1;1181;153;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;57.0;40.0;1.0;;;;
35;2022-02-24;191;18;2899;529;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;123.0;46.0;4.0;;;;
35;2022-02-26;383;27;5981;950;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;237.0;111.0;8.0;18;1;2;13
22;2022-03-01;162;5;2330;353;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;87.0;65.0;5.0;10;2;2;23
22;2022-03-05;78;1;1253;159;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;43.0;33.0;1.0;;;;
29;2022-03-07;144;15;1298;265;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;77.0;38.0;14.0;;;;
29;2021-10-30;44;5;1348;295;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;18.0;19.0;2.0;3;1;1;0
