ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;tranche_d_entrees;proprietaire;programmateur;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;population_de_la_commune_2015;unite_urbaine_2010;population_unite_urbaine_2015;semaines_d_activite_2020;seances_2020;entrees_2020;entrees_2019;evolution_entrees_2020_2019;art_et_essai;nombre_de_films_programmes_2020;nombre_de_films_inedits_2020;nombre_de_films_en_semaine_1_2020;pdm_en_entrees_des_films_francais_2020;pdm_en_entrees_des_films_americains_2020;pdm_en_entrees_des_films_europeens_2020;pdm_en_entrees_des_autres_films_2020;films_art_et_essai_2020;part_des_seances_de_films_art_et_essai_2020;pdm_en_entrees_des_films_art_et_essai_2020;geo
22634.0;94;JEAN VILAR;ILE-DE-FRANCE;1 RUE PAUL SIGNAC;94003;Arcueil;02-Grande Couronne;2;328;De 10 à 20 000 entrées;COMMUNE D ARCUEIL;;C;RDJPPR;FIXE;NON;21516.0;Paris;10706072.0;29.0;1089.0;12942.0;31129.0;-58.4246201291;OUI;165.0;118.0;1.0;46.649446373;41.509682302;10.572382817;1.26848850792;125.0;33.9119496855;29.8662410951;48.801352,2.330702
22636.0;94;MEGARAMA;ILE-DE-FRANCE;8 AVENUE SALVADOR ALLENDE;94003;Arcueil;02-Grande Couronne;6;781;De 50 à 80 000 entrées;CINEARCUEIL;SAS AGORA CINEMAS;NON;;FIXE;NON;21516.0;Paris;10706072.0;31.0;5780.0;68669.0;255441.0;-73.1174713535;NON;98.0;79.0;74.0;52.4352036457;31.8427798348;14.2694389063;1.45257761322;13.0;65.3225806452;79.5215038451;48.810228,2.328168
23301.0;95;JEAN GABIN;ILE-DE-FRANCE;12-14 BOULEVARD LEON FEIX;95018;Argenteuil;03-Petite couronne;1;128;De 2 à 5 000 entrées;COMMUNAUTE D AGGLOMERATION ARGENTEUIL BEZONS;;C;RDJP;FIXE;NON;110388.0;Paris;10706072.0;25.0;399.0;4116.0;11487.0;-64.168190128;OUI;77.0;43.0;0.0;79.6710117939;5.27622594662;8.84543761639;6.20732464308;63.0;80.4664723032;88.8578522657;48.946909,2.249331
23323.0;95;LE FIGUIER BLANC;ILE-DE-FRANCE;3TER RUE GREGOIRE COLLAS;95018;Argenteuil;03-Petite couronne;3;826;De 20 à 30 000 entrées;COMMUNAUTE D AGGLOMERATION ARGENTEUIL BEZONS;;C;RDJPPR;FIXE;NON;110388.0;Paris;10706072.0;30.0;1948.0;23428.0;72449.0;-67.6627696725;OUI;163.0;99.0;29.0;27.6174183515;60.5972006221;6.22083981337;5.56454121306;92.0;13.806308576;6.63452566096;48.943679,2.24855
24753.0;91;STARS;ILE-DE-FRANCE;13 AV DU GENERAL DE GAULLE;91021;Arpajon;03-Petite couronne;5;829;Moins de 2000 entrées;CINAEA;;NON;;FIXE;NON;10481.0;Paris;10706072.0;1.0;115.0;553.0;42729.0;-98.7057969997;NON;7.0;1.0;1.0;40.8625504189;50.5739993795;4.06453614645;4.49891405523;0.0;50.0;74.4337573689;48.590692,2.250123
26662.0;92;L ALCAZAR;ILE-DE-FRANCE;1 RUE DE LA STATION;92004;Asnières-sur-Seine;02-Grande Couronne;4;646;De 50 à 80 000 entrées;ASSOCIATION DE GESTION DES CINEMAS D ASNIERES;;C;JPPR;FIXE;NON;86512.0;Paris;10706072.0;31.0;2965.0;60803.0;183719.0;-66.9043484887;OUI;118.0;88.0;72.0;69.4622168425;23.9581532077;2.42088881204;4.15874113782;62.0;52.1367521368;55.939823621;48.906327,2.284046
27573.0;91;CINEMA VENTURA;ILE-DE-FRANCE;RUE SAMUEL DESBORDES;91027;Athis-Mons;03-Petite couronne;1;175;De 2 à 5 000 entrées;LE CENTRE CULTUREL DES PORTES DE L' ESSONNE;;C;;FIXE;NON;32792.0;Paris;10706072.0;26.0;278.0;3600.0;12102.0;-70.2528507685;OUI;92.0;75.0;0.0;45.7062600321;30.9390048154;14.2455858748;9.10914927769;49.0;50.0;59.0690208668;48.7102,2.388137
28113.0;78;PAUL GRIMAULT;ILE-DE-FRANCE;1 AV DE LA DIVISION LECLERC;78029;Aubergenville;03-Petite couronne;1;169;De 5 à 10 000 entrées;SCENE ET ECRAN;SARL GPCI;NON;;FIXE;NON;11557.0;Paris;10706072.0;30.0;816.0;6705.0;16669.0;-59.7756314116;NON;123.0;104.0;2.0;61.7882836588;27.8931140802;4.50154162384;5.8170606372;51.0;27.4509803922;27.7697841727;48.9589,1.855229
28264.0;93;STUDIO;ILE-DE-FRANCE;2 RUE EDOUARD POISSON;93001;Aubervilliers;02-Grande Couronne;1;127;De 10 à 20 000 entrées;ASSOCIATION CINEMA LE STUDIO;SARL GPCI;C;JPPR;FIXE;NON;83782.0;Paris;10706072.0;30.0;619.0;12932.0;28502.0;-54.6277454214;OUI;152.0;85.0;7.0;80.7100219918;11.5928369463;2.8589381087;4.83820295319;106.0;50.7692307692;70.7194470625;48.910534,2.384966
30164.0;93;THEATRE ET CINEMA JACQUES PREVERT;ILE-DE-FRANCE;134 RUE ANATOLE FRANCE;93005;Aulnay-sous-Bois;02-Grande Couronne;2;789;De 10 à 20 000 entrées;INSTITUT AULNAYSIEN DE DEVELOPPEMENT CULTUREL;SARL GPCI;C;JP;FIXE;NON;83584.0;Paris;10706072.0;20.0;486.0;11295.0;30648.0;-63.146045419;OUI;133.0;95.0;0.0;67.4981495189;17.4759437454;10.695780903;4.33012583272;67.0;71.0691823899;73.4863064397;48.940586,2.496291
